anzsco_code,title,employment,median_weekly_earnings,median_pay_aud
1111,Chief Executives and Managing Directors,60200.0,,
1112,General Managers,67900.0,,
1113,Legislators,2800.0,,
1211,Aquaculture Farmers,2100.0,,
1212,Crop Farmers,33400.0,,
1213,Livestock Farmers,69700.0,,
1214,Mixed Crop and Livestock Farmers,28000.0,,
1311,"Advertising, Public Relations and Sales Manager",166500.0,2677.0,139204.0
1321,Corporate Services Managers,23100.0,2932.0,152464.0
1322,Finance Managers,77400.0,2904.0,151008.0
1323,Human Resource Managers,91700.0,2768.0,143936.0
1324,Policy and Planning Managers,39500.0,2945.0,153140.0
1325,Research and Development Managers,19500.0,2887.0,150124.0
1331,Construction Managers,134600.0,3751.0,195052.0
1332,Engineering Managers,33100.0,3519.0,182988.0
1333,"Importers, Exporters and Wholesalers",17700.0,1846.0,95992.0
1334,Manufacturers,21900.0,,
1335,Production Managers,64900.0,2298.0,119496.0
1336,"Supply, Distribution and Procurement Managers",58000.0,2834.0,147368.0
1341,Child Care Centre Managers,17900.0,1983.0,103116.0
1342,Health and Welfare Services Managers,55200.0,2720.0,141440.0
1343,School Principals,29600.0,,
1344,Other Education Managers,16500.0,2724.0,141648.0
1351,ICT Managers,98600.0,3310.0,172120.0
1391,Commissioned Officers (Management),4400.0,3542.0,184184.0
1392,Senior Non-Commissioned Defence Force Officers,4000.0,,
1399,Other Specialist Managers,70000.0,2845.0,147940.0
1411,Cafe and Restaurant Managers,62300.0,1644.0,85488.0
1412,Caravan Park and Camping Ground Managers,3100.0,1519.0,78988.0
1413,Hotel and Motel Managers,18100.0,1827.0,95004.0
1414,Licensed Club Managers,7500.0,1765.0,91780.0
1419,Other Accommodation and Hospitality Managers,10400.0,1923.0,99996.0
1421,Retail Managers,248000.0,1620.0,84240.0
1491,"Amusement, Fitness and Sports Centre Managers",21600.0,1538.0,79976.0
1492,"Call, Contact Centre and Customer Service Managers",38100.0,2206.0,114712.0
1493,Conference and Event Organisers,35200.0,1634.0,84968.0
1494,Transport Services Managers,22000.0,2652.0,137904.0
1499,"Other Hospitality, Retail and Service Managers",92500.0,2115.0,109980.0
2111,"Actors, Dancers and Other Entertainers",8000.0,1692.0,87984.0
2112,Music Professionals,11200.0,1766.0,91832.0
2113,Photographers,14900.0,1840.0,95680.0
2114,Visual Arts and Crafts Professionals,14500.0,2081.0,108212.0
2121,"Artistic Directors, Media Producers and Presenters",13900.0,2179.0,113308.0
2122,"Authors, and Book and Script Editors",6600.0,,
2123,"Film, Television, Radio and Stage Directors",16500.0,1975.0,102700.0
2124,Journalists and Other Writers,22600.0,1722.0,89544.0
2211,Accountants,225100.0,2003.0,104156.0
2212,"Auditors, Company Secretaries and Corporate Treasurers",32200.0,2104.0,109408.0
2221,Financial Brokers,52400.0,2576.0,133952.0
2222,Financial Dealers,20100.0,2651.0,137852.0
2223,Financial Investment Advisers and Managers,64300.0,2582.0,134264.0
2231,Human Resource Professionals,85800.0,1970.0,102440.0
2232,ICT Trainers,3200.0,,
2233,Training and Development Professionals,33800.0,1956.0,101712.0
2241,"Actuaries, Mathematicians and Statisticians",12100.0,2072.0,107744.0
2242,"Archivists, Curators and Records Managers",9600.0,2279.0,118508.0
2243,Economists,4500.0,2862.0,148824.0
2244,Intelligence and Policy Analysts,42400.0,2173.0,112996.0
2245,Land Economists and Valuers,14000.0,2744.0,142688.0
2246,Librarians,11900.0,1841.0,95732.0
2247,Management and Organisation Analysts,109600.0,2444.0,127088.0
2249,Other Information and Organisation Professionals,57700.0,2189.0,113828.0
2251,Advertising and Marketing Professionals,102500.0,1957.0,101764.0
2252,ICT Sales Professionals,19600.0,2003.0,104156.0
2253,Public Relations Professionals,32500.0,2046.0,106392.0
2254,Technical Sales Representatives,27000.0,2596.0,134992.0
2311,Air Transport Professionals,16700.0,2651.0,137852.0
