anzsco_code,anzsco_title,isco08_code,isco08_title,isco08_detail
1,MANAGERS,,,
111111,Chief Executive or Managing Director,1112.0,p,Senior government officials
111111,Chief Executive or Managing Director,1114.0,p,Senior officials of special-interest organizations
111111,Chief Executive or Managing Director,1120.0,p,Managing directors and chief executives
111211,Corporate General Manager,1114.0,p,Senior officials of special-interest organizations
111211,Corporate General Manager,1120.0,p,Managing directors and chief executives
111211,Corporate General Manager,1112.0,p,Senior government officials
111212,Defence Force Senior Officer,110.0,p,Commissioned armed forces officers
111311,Local Government Legislator,1111.0,p,Legislators
111312,Member of Parliament,1111.0,p,Legislators
111399,Legislators nec,1111.0,p,Legislators
121111,Aquaculture Farmer,1312.0,,Aquaculture and fisheries production managers
121111,Aquaculture Farmer,6221.0,,Aquaculture workers
121211,Cotton Grower,1311.0,p,Agricultural and forestry production managers
121211,Cotton Grower,6111.0,p,Field crop and vegetable growers
121212,Flower Grower,1311.0,p,Agricultural and forestry production managers
121212,Flower Grower,6113.0,p,"Gardeners, horticultural and nursery growers"
121213,Fruit or Nut Grower,1311.0,p,Agricultural and forestry production managers
121213,Fruit or Nut Grower,6112.0,p,Tree and shrub crop growers
121214,"Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",1311.0,p,Agricultural and forestry production managers
121214,"Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",6111.0,p,Field crop and vegetable growers
121215,Grape Grower,1311.0,p,Agricultural and forestry production managers
121215,Grape Grower,6112.0,p,Tree and shrub crop growers
121216,Mixed Crop Farmer,1311.0,p,Agricultural and forestry production managers
121216,Mixed Crop Farmer,6114.0,,Mixed crop growers
121217,Sugar Cane Grower,1311.0,p,Agricultural and forestry production managers
121217,Sugar Cane Grower,6111.0,p,Field crop and vegetable growers
121218,Turf Grower,6113.0,p,"Gardeners, horticultural and nursery growers"
121221,Vegetable Grower (Aus) / Market Gardener (NZ),1311.0,p,Agricultural and forestry production managers
121221,Vegetable Grower (Aus) / Market Gardener (NZ),6111.0,p,Field crop and vegetable growers
121221,Vegetable Grower (Aus) / Market Gardener (NZ),6113.0,p,"Gardeners, horticultural and nursery growers"
121299,Crop Farmers nec,6111.0,p,Field crop and vegetable growers
121299,Crop Farmers nec,6112.0,p,Tree and shrub crop growers
121299,Crop Farmers nec,6113.0,p,"Gardeners, horticultural and nursery growers"
121311,Apiarist,1311.0,p,Agricultural and forestry production managers
121311,Apiarist,6123.0,p,Apiarists and sericulturists
121312,Beef Cattle Farmer,1311.0,p,Agricultural and forestry production managers
121312,Beef Cattle Farmer,6121.0,p,Livestock and dairy producers
121313,Dairy Cattle Farmer,1311.0,p,Agricultural and forestry production managers
121313,Dairy Cattle Farmer,6121.0,p,Livestock and dairy producers
121314,Deer Farmer,1311.0,p,Agricultural and forestry production managers
121314,Deer Farmer,6121.0,p,Livestock and dairy producers
121315,Goat Farmer,1311.0,p,Agricultural and forestry production managers
121315,Goat Farmer,6121.0,p,Livestock and dairy producers
121316,Horse Breeder,1311.0,p,Agricultural and forestry production managers
121316,Horse Breeder,6121.0,p,Livestock and dairy producers
121317,Mixed Livestock Farmer,1311.0,p,Agricultural and forestry production managers
121317,Mixed Livestock Farmer,6121.0,p,Livestock and dairy producers
121318,Pig Farmer,1311.0,p,Agricultural and forestry production managers
121318,Pig Farmer,6121.0,p,Livestock and dairy producers
121321,Poultry Farmer,1311.0,p,Agricultural and forestry production managers
121321,Poultry Farmer,6122.0,,Poultry producers
